part_id,part_family,validation_status
BASE_NEXUS3,BASE_NEXUS3,UNTESTED
BASE_PEACOCK01,BASE_PEACOCK01,UNTESTED
BASE_PEACOCK02,BASE_PEACOCK02,UNTESTED
BASE_PEACOCK03,BASE_PEACOCK03,UNTESTED
BASE_RADPLANT01,BASE_RADPLANT01,UNTESTED
BASE_RADPLANT02,BASE_RADPLANT02,UNTESTED
BASE_RADPLANT03,BASE_RADPLANT03,UNTESTED
BASE_RADPLANT04,BASE_RADPLANT04,UNTESTED
BASE_ROBOTOY,BASE_ROBOTOY,UNTESTED
BASE_ROCK01,BASE_ROCK01,UNTESTED
BASE_ROCK02,BASE_ROCK02,UNTESTED
BASE_ROCK03,BASE_ROCK03,UNTESTED
BASE_SHARD,BASE_SHARD,UNTESTED
BASE_SHELLWHITE,BASE_SHELLWHITE,UNTESTED
BASE_SPRIGBUSH,BASE_SPRIGBUSH,UNTESTED
BASE_STARJOINT,BASE_STARJOINT,UNTESTED
BASE_SUBZPLANT1,BASE_SUBZPLANT1,UNTESTED
BASE_SUBZPLANT2,BASE_SUBZPLANT2,UNTESTED
BASE_SUBZPLANT3,BASE_SUBZPLANT3,UNTESTED
BASE_SUBZPLANT4,BASE_SUBZPLANT4,UNTESTED
BASE_SUBZPLANT5,BASE_SUBZPLANT5,UNTESTED
BASE_SUBZPLANT6,BASE_SUBZPLANT6,UNTESTED
BASE_SUBZPLANT7,BASE_SUBZPLANT7,UNTESTED
BASE_SUBZPLANT8,BASE_SUBZPLANT8,UNTESTED
BASE_SUBZPLANT9,BASE_SUBZPLANT9,UNTESTED
BASE_SWAMP1,BASE_SWAMP1,UNTESTED
BASE_SWAMP2,BASE_SWAMP2,UNTESTED
BASE_SWAMP3,BASE_SWAMP3,UNTESTED
BASE_TERRARIUM,BASE_TERRARIUM,UNTESTED
BASE_TOXPLANT01,BASE_TOXPLANT01,UNTESTED
BASE_TOXPLANT02,BASE_TOXPLANT02,UNTESTED
BASE_TOXPLANT03,BASE_TOXPLANT03,UNTESTED
BASE_TOXPLANT04,BASE_TOXPLANT04,UNTESTED
BASE_TOYCORE,BASE_TOYCORE,UNTESTED
BASE_TOYCUBE,BASE_TOYCUBE,UNTESTED
BASE_TOYJELLY,BASE_TOYJELLY,UNTESTED
BASE_TOYSPHERE,BASE_TOYSPHERE,UNTESTED
BASE_TREE01,BASE_TREE01,UNTESTED
BASE_TREE02,BASE_TREE02,UNTESTED
BASE_TREE03,BASE_TREE03,UNTESTED
BASE_WEIRDCUBE,BASE_WEIRDCUBE,UNTESTED
BASE_WPLANT1,BASE_WPLANT1,UNTESTED
BASE_WPLANT2,BASE_WPLANT2,UNTESTED
BASE_WPLANT3,BASE_WPLANT3,UNTESTED
BASE_WPLANT4,BASE_WPLANT4,UNTESTED
BASE_WPLANT5,BASE_WPLANT5,UNTESTED
BASE_WPLANT6,BASE_WPLANT6,UNTESTED
BASE_WPLANT7,BASE_WPLANT7,UNTESTED
BASE_WPLANT8,BASE_WPLANT8,UNTESTED
BILLBOARD,BILLBOARD,UNTESTED
BIOROOM,BIOROOM,UNTESTED
BLDWALLUNIT,BLDWALLUNIT,UNTESTED
BLD_BUGHEAD1,BLD_BUGHEAD1,UNTESTED
BLD_BUGHEAD2,BLD_BUGHEAD2,UNTESTED
BLD_BUGHEAD3,BLD_BUGHEAD3,UNTESTED
BLD_BUGHEAD4,BLD_BUGHEAD4,UNTESTED
BLD_BUGHEAD5,BLD_BUGHEAD5,UNTESTED
BLD_BUI_HAND,BLD_BUI_HAND,UNTESTED
BLD_BUI_HEAD,BLD_BUI_HEAD,UNTESTED
BLD_BUI_TENT,BLD_BUI_TENT,UNTESTED
BLD_COVCRATE,BLD_COVCRATE,UNTESTED
BLD_COVSILOS,BLD_COVSILOS,UNTESTED
BLD_CRANE,BLD_CRANE,UNTESTED
BLD_CRYS_DRONE,BLD_CRYS_DRONE,UNTESTED
BLD_CRYS_SENT0,BLD_CRYS_SENT0,UNTESTED
BLD_CRYS_SENT1,BLD_CRYS_SENT1,UNTESTED
BLD_DATASIGN,BLD_DATASIGN,UNTESTED
BLD_EXPD_BASE01,BLD_EXPD_BASE01,UNTESTED
BLD_FIREPIT,BLD_FIREPIT,UNTESTED
BLD_FLYJAR,BLD_FLYJAR,UNTESTED
BLD_HOLOGEK,BLD_HOLOGEK,UNTESTED
BLD_MAPTUBE,BLD_MAPTUBE,UNTESTED
BLD_MINI_BIOFRI,BLD_MINI_BIOFRI,UNTESTED
BLD_PLANET_HOLO,BLD_PLANET_HOLO,UNTESTED
BLD_RUINS_01,BLD_RUINS_01,UNTESTED
BLD_RUINS_02,BLD_RUINS_02,UNTESTED
BLD_RUINS_03,BLD_RUINS_03,UNTESTED
BLD_RUINS_04,BLD_RUINS_04,UNTESTED
BLD_RUINS_05,BLD_RUINS_05,UNTESTED
BLD_RUINS_06,BLD_RUINS_06,UNTESTED
BLD_RUINS_07,BLD_RUINS_07,UNTESTED
BLD_RUINS_08,BLD_RUINS_08,UNTESTED
BLD_RUINS_09,BLD_RUINS_09,UNTESTED
BLD_RUINS_10,BLD_RUINS_10,UNTESTED
BLD_RUINS_11,BLD_RUINS_11,UNTESTED
BLD_RUINS_12,BLD_RUINS_12,UNTESTED
BLD_SHIPBREAK1,BLD_SHIPBREAK1,UNTESTED
BLD_SHIPBREAK2,BLD_SHIPBREAK2,UNTESTED
BLD_SHIPBREAK3,BLD_SHIPBREAK3,UNTESTED
BLD_SHIPBREAK4,BLD_SHIPBREAK4,UNTESTED
BLD_SHIPBREAK5,BLD_SHIPBREAK5,UNTESTED
BLD_SKULL,BLD_SKULL,UNTESTED
BOXEDSCREEN,BOXEDSCREEN,UNTESTED
BP_ANALYSER,BP_ANALYSER,UNTESTED
BRIDGECONNECTOR,BRIDGECONNECTOR,UNTESTED
BUILDAMCRATE,BUILDAMCRATE,UNTESTED
BUILDANTIMATTER,BUILDANTIMATTER,UNTESTED
BUILDBEACON,BUILDBEACON,UNTESTED
BUILDBED,BUILDBED,UNTESTED
BUILDCANRACK,BUILDCANRACK,UNTESTED
BUILDCHAIR,BUILDCHAIR,UNTESTED
BUILDCHAIR2,BUILDCHAIR2,UNTESTED
BUILDCHAIR3,BUILDCHAIR3,UNTESTED
BUILDCHAIR4,BUILDCHAIR4,UNTESTED
BUILDDECAL,BUILDDECAL,UNTESTED
BUILDDECAL2,BUILDDECAL2,UNTESTED
BUILDDECALNMS,BUILDDECALNMS,UNTESTED
BUILDDECALNUM0,BUILDDECALNUM0,UNTESTED
BUILDDECALNUM1,BUILDDECALNUM1,UNTESTED
BUILDDECALNUM2,BUILDDECALNUM2,UNTESTED
BUILDDECALNUM3,BUILDDECALNUM3,UNTESTED
BUILDDECALNUM4,BUILDDECALNUM4,UNTESTED
BUILDDECALNUM5,BUILDDECALNUM5,UNTESTED
BUILDDECALNUM6,BUILDDECALNUM6,UNTESTED
BUILDDECALNUM7,BUILDDECALNUM7,UNTESTED
BUILDDECALNUM8,BUILDDECALNUM8,UNTESTED
BUILDDECALNUM9,BUILDDECALNUM9,UNTESTED
BUILDDECALSIMP1,BUILDDECALSIMP1,UNTESTED
BUILDDECALSIMP2,BUILDDECALSIMP2,UNTESTED
BUILDDECALSIMP3,BUILDDECALSIMP3,UNTESTED
BUILDDECALSIMP4,BUILDDECALSIMP4,UNTESTED
BUILDDECALVIS1,BUILDDECALVIS1,UNTESTED
BUILDDECALVIS2,BUILDDECALVIS2,UNTESTED
BUILDDECALVIS3,BUILDDECALVIS3,UNTESTED
BUILDDECALVIS4,BUILDDECALVIS4,UNTESTED
BUILDDECALVIS5,BUILDDECALVIS5,UNTESTED
BUILDDOOR,BUILDDOOR,UNTESTED
BUILDDOOR_WATER,BUILDDOOR_WATER,UNTESTED
BUILDFLATPANEL,BUILDFLATPANEL,UNTESTED
BUILDGASHARVEST,BUILDGASHARVEST,UNTESTED
BUILDHARVESTER,BUILDHARVESTER,UNTESTED
BUILDHCABINET,BUILDHCABINET,UNTESTED
BUILDLABLAMP,BUILDLABLAMP,UNTESTED
BUILDLADDER,BUILDLADDER,UNTESTED
BUILDLANDINGPAD,BUILDLANDINGPAD,UNTESTED
BUILDLCRATE,BUILDLCRATE,UNTESTED
BUILDLIGHT,BUILDLIGHT,UNTESTED
BUILDLIGHT2,BUILDLIGHT2,UNTESTED
BUILDLIGHT3,BUILDLIGHT3,UNTESTED
BUILDLIGHTTABLE,BUILDLIGHTTABLE,UNTESTED
BUILDLOCKER,BUILDLOCKER,UNTESTED
BUILDPAVING,BUILDPAVING,UNTESTED
BUILDPAVINGTALL,BUILDPAVINGTALL,UNTESTED
BUILDPAVING_BIG,BUILDPAVING_BIG,UNTESTED
BUILDRAMP,BUILDRAMP,UNTESTED
BUILDSAVE,BUILDSAVE,UNTESTED
BUILDSIDEPANEL,BUILDSIDEPANEL,UNTESTED
BUILDSIGNAL,BUILDSIGNAL,UNTESTED
BUILDSIMPLEDESK,BUILDSIMPLEDESK,UNTESTED
BUILDSOFA,BUILDSOFA,UNTESTED
BUILDSOFA2,BUILDSOFA2,UNTESTED
BUILDSOFA2L,BUILDSOFA2L,UNTESTED
BUILDTABLE,BUILDTABLE,UNTESTED
BUILDTABLE2,BUILDTABLE2,UNTESTED
BUILDTABLE3,BUILDTABLE3,UNTESTED
BUILDTERMINAL,BUILDTERMINAL,UNTESTED
BUILDWINDOW,BUILDWINDOW,UNTESTED
BUILDWORKTOP,BUILDWORKTOP,UNTESTED
BUILD_REFINER1,BUILD_REFINER1,UNTESTED
BUILD_REFINER2,BUILD_REFINER2,UNTESTED
BUILD_REFINER3,BUILD_REFINER3,UNTESTED
BYTEBEAT,BYTEBEAT,UNTESTED
BYTEBEATSWITCH,BYTEBEATSWITCH,UNTESTED
B_ALK_A,ALK_A,UNTESTED
B_ALK_B,ALK_B,UNTESTED
B_ALK_C,ALK,UNTESTED
B_ALK_Z_A,ALK_Z_A,UNTESTED
B_ALK_Z_B,ALK_Z_B,UNTESTED
B_ANTENNA0,ANTENNA0,UNTESTED
B_ANTENNA1,ANTENNA1,UNTESTED
B_ANTENNA2,ANTENNA2,UNTESTED
B_ANTENNA3,ANTENNA3,UNTESTED
B_ARCH,ARCH,UNTESTED
B_ARCHB,ARCHB,UNTESTED
B_ARCHB_H,ARCHB,UNTESTED
B_ARCHM,ARCHM,UNTESTED
B_ARCHM_H,ARCHM,UNTESTED
B_ARCHT,ARCHT,UNTESTED
B_ARCHT_H,ARCHT,UNTESTED
B_ARCH_H,ARCH,UNTESTED
B_CANOPY_WALL0,CANOPY_WALL0,UNTESTED
B_CANOPY_WALL1,CANOPY_WALL1,UNTESTED
B_CANOPY_WALL2,CANOPY_WALL2,UNTESTED
B_CARRIAGEWHEEL,CARRIAGEWHEEL,UNTESTED
B_CHEV_DOOR,CHEV_DOOR,UNTESTED
B_CHEV_WALL,CHEV_WALL,UNTESTED
B_CHEV_WALL_H_C,CHEV_WALL_H,UNTESTED
B_CHEV_WIN0,CHEV_WIN0,UNTESTED
B_CHEV_WIN1,CHEV_WIN1,UNTESTED
B_CHEV_WIN2,CHEV_WIN2,UNTESTED
B_COK_A,COK_A,UNTESTED
B_COK_B,COK_B,UNTESTED
B_COK_D,COK_D,UNTESTED
B_CON2_0,CON2_0,UNTESTED
B_CON2_1,CON2_1,UNTESTED
B_CON2_2,CON2_2,UNTESTED
B_CON2_3,CON2_3,UNTESTED
B_CON_10,CON_10,UNTESTED
B_CON_11,CON_11,UNTESTED
B_CON_12,CON_12,UNTESTED
B_CON_13,CON_13,UNTESTED
B_CON_14,CON_14,UNTESTED
B_CON_15,CON_15,UNTESTED
B_CON_5,CON_5,UNTESTED
B_CON_6,CON_6,UNTESTED
B_CON_7,CON_7,UNTESTED
B_CON_8,CON_8,UNTESTED
B_CON_9,CON_9,UNTESTED
B_CON_L_0,CON_L_0,UNTESTED
B_CON_L_1,CON_L_1,UNTESTED
B_CON_L_2,CON_L_2,UNTESTED
B_CON_L_3,CON_L_3,UNTESTED
B_CON_R_0,CON_R_0,UNTESTED
B_CON_R_1,CON_R_1,UNTESTED
B_CON_R_2,CON_R_2,UNTESTED
B_CON_R_3,CON_R_3,UNTESTED
B_DECO_A,DECO_A,UNTESTED
B_DECO_B,DECO_B,UNTESTED
B_DECO_C,DECO,UNTESTED
B_DECO_D,DECO_D,UNTESTED
B_DECO_F,DECO_F,UNTESTED
B_DECO_G,DECO_G,UNTESTED
B_DECO_H,DECO,UNTESTED
B_DECO_I,DECO_I,UNTESTED
B_DECO_J,DECO_J,UNTESTED
B_DECO_K,DECO_K,UNTESTED
B_DECO_L,DECO_L,UNTESTED
B_DECO_M,DECO,UNTESTED
B_DECO_N_0,DECO_N_0,UNTESTED
B_DECO_N_1,DECO_N_1,UNTESTED
B_DECO_O,DECO_O,UNTESTED
B_DECO_P,DECO_P,UNTESTED
B_DECO_Q_0,DECO_Q_0,UNTESTED
B_DECO_Q_1,DECO_Q_1,UNTESTED
B_DECO_R,DECO_R,UNTESTED
B_DECO_S,DECO_S,UNTESTED
B_DECO_T,DECO_T,UNTESTED
B_DOOR,DOOR,UNTESTED
B_DOOR1,DOOR1,UNTESTED
B_DOORB0,DOORB0,UNTESTED
B_DOORB0_H,DOORB0,UNTESTED
B_DOORB1,DOORB1,UNTESTED
B_DOORM0,DOORM0,UNTESTED
B_DOORM0_H,DOORM0,UNTESTED
B_DOORM1,DOORM1,UNTESTED
B_DOORT0,DOORT0,UNTESTED
B_DOORT0_H,DOORT0,UNTESTED
B_DOORT1,DOORT1,UNTESTED
B_DOORWINB0,DOORWINB0,UNTESTED
B_DOORWINDOW,DOORWINDOW,UNTESTED
B_DOORWINM0,DOORWINM0,UNTESTED
B_DOORWINT0,DOORWINT0,UNTESTED
B_DOOR_H,DOOR,UNTESTED
B_FLOOR,FLOOR,UNTESTED
B_FLOOR_Q,FLOOR,UNTESTED
B_GDOOR,GDOOR,UNTESTED
B_GDOORB0,GDOORB0,UNTESTED
B_GDOORM0,GDOORM0,UNTESTED
B_GDOORT0,GDOORT0,UNTESTED
B_GEN_0,GEN_0,UNTESTED
B_GEN_1,GEN_1,UNTESTED
B_GEN_2,GEN_2,UNTESTED
B_GEN_3,GEN_3,UNTESTED
B_GFLOOR,GFLOOR,UNTESTED
B_HAB1_A,HAB1_A,UNTESTED
B_HAB1_B,HAB1_B,UNTESTED
B_HAB1_C,HAB1,UNTESTED
B_HAB_A,HAB_A,UNTESTED
B_HAB_B,HAB_B,UNTESTED
B_HAB_C,HAB,UNTESTED
B_LARGETRYE0,LARGETRYE0,UNTESTED
B_LND_A,LND_A,UNTESTED
B_LND_B,LND_B,UNTESTED
B_LND_C,LND,UNTESTED
B_PALLET_BRICK,PALLET_BRICK,UNTESTED
B_RAMP,STAIR_FULL_RAMP,BLENDER_USER_CHECK
B_RAMP_H,RAMP,UNTESTED
B_RAMP_Q_TOP,RAMP_Q_TOP,UNTESTED
B_ROBOTARM,ROBOTARM,UNTESTED
B_ROOF0,ROOF0,UNTESTED
B_ROOF1,ROOF1,UNTESTED
B_ROOF2,ROOF2,UNTESTED
B_ROOF3,ROOF3,UNTESTED
B_ROOF4,ROOF4,UNTESTED
B_ROOF5,ROOF5,UNTESTED
B_ROOF6,ROOF6,UNTESTED
B_ROOF7,ROOF7,UNTESTED
B_ROOF8,ROOF8,UNTESTED
B_ROOF_C,ROOF,UNTESTED
B_ROOF_E_CAP,ROOF_E_CAP,UNTESTED
B_ROOF_E_Q,ROOF_E,UNTESTED
B_ROOF_IC,ROOF,UNTESTED
B_ROOF_M,ROOF,UNTESTED
B_ROOF_M_CAP,ROOF_M_CAP,UNTESTED
B_ROOF_M_Q,ROOF_M,UNTESTED
B_ROOF_M_WIN,ROOF_M_WIN,UNTESTED
B_SAIL0,SAIL0,UNTESTED
B_SAIL1,SAIL1,UNTESTED
B_SAIL2,SAIL2,UNTESTED
B_SAIL3,SAIL3,UNTESTED
B_SCISSORLIFT,SCISSORLIFT,UNTESTED
B_SHL_A,SHL_A,UNTESTED
B_SHL_B,SHL_B,UNTESTED
B_SHL_C,SHL,UNTESTED
B_SHL_E,SHL_E,UNTESTED
B_STAIRS0,STAIRS0,UNTESTED
B_STREETLAMP0,STREETLAMP0,UNTESTED
B_STR_AA_E,STR_AA_E,UNTESTED
B_STR_AA_N,STR_AA_N,UNTESTED
B_STR_AA_S,STR_AA_S,UNTESTED
B_STR_AA_W,STR_AA_W,UNTESTED
B_STR_AA_Y_E,STR_AA_Y_E,UNTESTED
B_STR_AA_Y_N,STR_AA_Y_N,UNTESTED
B_STR_AA_Y_S,STR_AA_Y_S,UNTESTED
B_STR_AA_Y_W,STR_AA_Y_W,UNTESTED
B_STR_A_E,STR_A_E,UNTESTED
B_STR_A_N,STR_A_N,UNTESTED
B_STR_A_NE,STR_A_NE,UNTESTED
B_STR_A_NE1,STR_A_NE1,UNTESTED
B_STR_A_NE2,STR_A_NE2,UNTESTED
B_STR_A_NE3,STR_A_NE3,UNTESTED
B_STR_A_NW,STR_A_NW,UNTESTED
B_STR_A_NW1,STR_A_NW1,UNTESTED
B_STR_A_NW2,STR_A_NW2,UNTESTED
B_STR_A_NW3,STR_A_NW3,UNTESTED
B_STR_A_S,STR_A_S,UNTESTED
B_STR_A_W,STR_A_W,UNTESTED
B_STR_A_Y_E,STR_A_Y_E,UNTESTED
B_STR_A_Y_N,STR_A_Y_N,UNTESTED
B_STR_A_Y_NE,STR_A_Y_NE,UNTESTED
B_STR_A_Y_NE1,STR_A_Y_NE1,UNTESTED
B_STR_A_Y_NE2,STR_A_Y_NE2,UNTESTED
B_STR_A_Y_NE3,STR_A_Y_NE3,UNTESTED
B_STR_A_Y_NW,STR_A_Y_NW,UNTESTED
B_STR_A_Y_NW1,STR_A_Y_NW1,UNTESTED
B_STR_A_Y_NW2,STR_A_Y_NW2,UNTESTED
B_STR_A_Y_NW3,STR_A_Y_NW3,UNTESTED
B_STR_A_Y_S,STR_A_Y_S,UNTESTED
B_STR_A_Y_W,STR_A_Y_W,UNTESTED
B_STR_B_E,STR_B_E,UNTESTED
B_STR_B_N,STR_B_N,UNTESTED
B_STR_B_NE,STR_B_NE,UNTESTED
B_STR_B_NE1,STR_B_NE1,UNTESTED
B_STR_B_NE2,STR_B_NE2,UNTESTED
B_STR_B_NE3,STR_B_NE3,UNTESTED
B_STR_B_NW,STR_B_NW,UNTESTED
B_STR_B_NW1,STR_B_NW1,UNTESTED
B_STR_B_NW2,STR_B_NW2,UNTESTED
B_STR_B_NW3,STR_B_NW3,UNTESTED
B_STR_B_S,STR_B_S,UNTESTED
B_STR_B_W,STR_B_W,UNTESTED
B_STR_B_Y_E,STR_B_Y_E,UNTESTED
B_STR_B_Y_N,STR_B_Y_N,UNTESTED
B_STR_B_Y_NE,STR_B_Y_NE,UNTESTED
B_STR_B_Y_NE1,STR_B_Y_NE1,UNTESTED
B_STR_B_Y_NE2,STR_B_Y_NE2,UNTESTED
B_STR_B_Y_NE3,STR_B_Y_NE3,UNTESTED
B_STR_B_Y_NW,STR_B_Y_NW,UNTESTED
B_STR_B_Y_NW1,STR_B_Y_NW1,UNTESTED
B_STR_B_Y_NW2,STR_B_Y_NW2,UNTESTED
B_STR_B_Y_NW3,STR_B_Y_NW3,UNTESTED
B_STR_B_Y_S,STR_B_Y_S,UNTESTED
B_STR_B_Y_W,STR_B_Y_W,UNTESTED
B_STR_C_E,STR_C_E,UNTESTED
B_STR_C_N,STR_C_N,UNTESTED
B_STR_C_NE,STR_C_NE,UNTESTED
B_STR_C_NE1,STR_C_NE1,UNTESTED
B_STR_C_NE2,STR_C_NE2,UNTESTED
B_STR_C_NE3,STR_C_NE3,UNTESTED
B_STR_C_NW,STR_C_NW,UNTESTED
B_STR_C_NW1,STR_C_NW1,UNTESTED
B_STR_C_NW2,STR_C_NW2,UNTESTED
B_STR_C_NW3,STR_C_NW3,UNTESTED
B_STR_C_S,STR_C_S,UNTESTED
B_STR_C_W,STR_C_W,UNTESTED
B_STR_C_Y_E,STR_C_Y_E,UNTESTED
B_STR_C_Y_N,STR_C_Y_N,UNTESTED
B_STR_C_Y_NE,STR_C_Y_NE,UNTESTED
B_STR_C_Y_NE1,STR_C_Y_NE1,UNTESTED
B_STR_C_Y_NE2,STR_C_Y_NE2,UNTESTED
B_STR_C_Y_NE3,STR_C_Y_NE3,UNTESTED
B_STR_C_Y_NW,STR_C_Y_NW,UNTESTED
B_STR_C_Y_NW1,STR_C_Y_NW1,UNTESTED
B_STR_C_Y_NW2,STR_C_Y_NW2,UNTESTED
B_STR_C_Y_NW3,STR_C_Y_NW3,UNTESTED
B_STR_C_Y_S,STR_C_Y_S,UNTESTED
B_STR_C_Y_W,STR_C_Y_W,UNTESTED
B_STR_D_E,STR_D_E,UNTESTED
B_STR_D_N,STR_D_N,UNTESTED
B_STR_D_NE,STR_D_NE,UNTESTED
B_STR_D_NE1,STR_D_NE1,UNTESTED
B_STR_D_NE2,STR_D_NE2,UNTESTED
B_STR_D_NE3,STR_D_NE3,UNTESTED
B_STR_D_NW,STR_D_NW,UNTESTED
B_STR_D_NW1,STR_D_NW1,UNTESTED
B_STR_D_NW2,STR_D_NW2,UNTESTED
B_STR_D_NW3,STR_D_NW3,UNTESTED
B_STR_D_S,STR_D_S,UNTESTED
B_STR_D_W,STR_D_W,UNTESTED
B_STR_D_Y_E,STR_D_Y_E,UNTESTED
B_STR_D_Y_N,STR_D_Y_N,UNTESTED
B_STR_D_Y_NE,STR_D_Y_NE,UNTESTED
B_STR_D_Y_NE1,STR_D_Y_NE1,UNTESTED
B_STR_D_Y_NE2,STR_D_Y_NE2,UNTESTED
B_STR_D_Y_NE3,STR_D_Y_NE3,UNTESTED
B_STR_D_Y_NW,STR_D_Y_NW,UNTESTED
B_STR_D_Y_NW1,STR_D_Y_NW1,UNTESTED
B_STR_D_Y_NW2,STR_D_Y_NW2,UNTESTED
B_STR_D_Y_NW3,STR_D_Y_NW3,UNTESTED
B_STR_D_Y_S,STR_D_Y_S,UNTESTED
B_STR_D_Y_W,STR_D_Y_W,UNTESTED
B_STR_E_E,STR_E_E,UNTESTED
B_STR_E_N,STR_E_N,UNTESTED
B_STR_E_NE,STR_E_NE,UNTESTED
B_STR_E_NE1,STR_E_NE1,UNTESTED
