part_id,part_family,status,primary_source,partmap_path,fbx_path,baseline_scale,extent_x,extent_y,extent_z,center_x,center_y,center_z,local_x_rule,local_y_rule,local_z_rule,neighbor_offset_summary,fitment_modes,validated_applications,validation_status,orientation_override,last_updated,provenance_level,origin_type,origin_offset_local,default_orientation_state,default_orientation_direction,pivot_center_type,orientation_phase_rule,phase_a_deg,phase_b_deg,scale_behavior,family_equivalence_status,geometry_capability,validated_with_algorithm,next_validation_needed
BASE_BONEGARDEN,BASE_BONEGARDEN,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_BONEGARDEN.fbx,source/control scale,1.28,2.453582,1.28,0.0,1.208256,0.0,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_BUBBLECLUS,BASE_BUBBLECLUS,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_BUBBLECLUS.fbx,source/control scale,1.735049,2.264394,2.026649,-0.071846,1.334192,0.111815,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_BUBPIPE,BASE_BUBPIPE,SEEDED,dimensions_library_fbx_bounds,,models/decoration/BASE_BUBPIPE.fbx,source/control scale,0.953124,0.953126,2.0,0.0,0.0,0.0,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_BUBPIPE_L,BASE_BUBPIPE_L,SEEDED,dimensions_library_fbx_bounds,,models/decoration/BASE_BUBPIPE_L.fbx,source/control scale,0.953124,1.476563,1.476562,0.0,-0.261718,0.261719,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_BUBPIPE_S,BASE_BUBPIPE_S,SEEDED,dimensions_library_fbx_bounds,,models/decoration/BASE_BUBPIPE_S.fbx,source/control scale,0.953124,0.953126,2.0,0.0,0.0,0.0,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_BUBPIPE_T,BASE_BUBPIPE_T,SEEDED,dimensions_library_fbx_bounds,,models/decoration/BASE_BUBPIPE_T.fbx,source/control scale,2.0,1.476564,0.953125,0.0,0.73828,-1e-06,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_BUBPIPE_X,BASE_BUBPIPE_X,SEEDED,dimensions_library_fbx_bounds,,models/decoration/BASE_BUBPIPE_X.fbx,source/control scale,2.0,1.999025,0.953125,0.0,0.99951,-1e-06,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_CAVE1,BASE_CAVE1,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_CAVE1.fbx,source/control scale,1.216309,0.454589,1.202149,-0.00415,0.226235,0.01123,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_CAVE2,BASE_CAVE2,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_CAVE2.fbx,source/control scale,0.771241,1.819336,0.79248,0.044068,0.591309,0.054199,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_CAVE3,BASE_CAVE3,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_CAVE3.fbx,source/control scale,0.885986,1.433594,0.970947,0.137573,0.385742,-0.02185,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_CAVE4,BASE_CAVE4,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_CAVE4.fbx,source/control scale,1.085694,1.154786,1.015381,-0.112915,0.477295,-0.113403,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_CAVE5,BASE_CAVE5,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_CAVE5.fbx,source/control scale,1.359863,2.677491,1.34668,0.031983,0.936646,0.003418,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_COLDPLANT1,BASE_COLDPLANT1,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_COLDPLANT1.fbx,source/control scale,2.057348,2.768781,2.003807,0.018432,0.655875,0.010093,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_COLDPLANT2,BASE_COLDPLANT2,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_COLDPLANT2.fbx,source/control scale,2.327893,1.579387,3.316598,-0.099797,0.614477,-0.134612,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_COLDPLANT3,BASE_COLDPLANT3,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_COLDPLANT3.fbx,source/control scale,4.714844,8.192383,4.625,-0.173828,2.946778,0.222656,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_CONTOURPOD,BASE_CONTOURPOD,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_CONTOURPOD.fbx,source/control scale,3.788114,2.161035,3.839498,-0.283189,1.080518,-0.193958,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST01,BASE_DUST01,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST01.fbx,source/control scale,6.189453,6.134033,5.328125,0.545898,2.710327,0.320312,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST02,BASE_DUST02,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST02.fbx,source/control scale,1.337891,1.8927,1.502441,0.0,0.783142,0.005615,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST03,BASE_DUST03,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST03.fbx,source/control scale,3.761719,3.483643,3.731445,0.006836,1.469116,-0.033691,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST04,BASE_DUST04,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST04.fbx,source/control scale,9.253906,10.346191,9.277344,-0.283203,4.381592,0.294922,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST05,BASE_DUST05,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST05.fbx,source/control scale,10.390625,7.257812,10.976562,1.4375,1.941406,-1.828125,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST06,BASE_DUST06,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST06.fbx,source/control scale,1.00293,1.143475,1.151367,0.022461,0.5767,-0.036621,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST07,BASE_DUST07,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST07.fbx,source/control scale,1.69043,3.577393,2.010742,-0.068359,1.594116,-0.165527,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST08,BASE_DUST08,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST08.fbx,source/control scale,2.104492,2.106201,1.67041,0.029785,0.676392,0.185303,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST09,BASE_DUST09,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST09.fbx,source/control scale,2.97168,4.931641,2.78125,0.174316,1.90918,0.089844,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST10,BASE_DUST10,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST10.fbx,source/control scale,6.152344,4.99707,5.951172,0.009766,1.009277,0.227539,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST11,BASE_DUST11,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST11.fbx,source/control scale,6.980469,7.900391,6.474609,0.154297,2.44043,0.745117,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST12,BASE_DUST12,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST12.fbx,source/control scale,6.597656,9.547852,6.361328,-1.587891,4.522949,-1.057617,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUST13,BASE_DUST13,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUST13.fbx,source/control scale,2.271484,6.296631,2.269531,-0.041992,2.691528,-0.00293,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUSTPLANT1,BASE_DUSTPLANT1,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUSTPLANT1.fbx,source/control scale,2.39823,5.614274,2.559274,-0.036459,2.729098,-0.055904,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUSTPLANT2,BASE_DUSTPLANT2,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUSTPLANT2.fbx,source/control scale,1.366064,1.115557,1.198027,-0.013642,0.512547,-0.015378,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_DUSTPLANT3,BASE_DUSTPLANT3,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_DUSTPLANT3.fbx,source/control scale,5.270534,5.533037,5.151463,0.199265,2.531045,-0.02134,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_ENGINEORB,BASE_ENGINEORB,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_ENGINEORB.fbx,source/control scale,3.385792,3.240936,3.381723,0.023553,2.3554,-0.016963,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_FLAG,BASE_FLAG,SEEDED,dimensions_library_fbx_bounds,,models/deployable_technology/BASE_FLAG.fbx,source/control scale,0.88,1.191846,0.88,0.0,0.616247,0.0,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_FLORAL01,BASE_FLORAL01,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_FLORAL01.fbx,source/control scale,0.838623,0.891296,0.759521,0.012085,0.462555,0.039673,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_FLORAL02,BASE_FLORAL02,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_FLORAL02.fbx,source/control scale,1.922852,1.31665,1.741699,0.02002,0.240112,0.115967,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_FLORAL03,BASE_FLORAL03,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_FLORAL01.fbx,source/control scale,0.838623,0.891296,0.759521,0.012085,0.462555,0.039673,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_FLORAL04,BASE_FLORAL04,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_FLORAL04.fbx,source/control scale,1.045898,0.824371,0.988281,0.107422,0.454514,0.001221,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_FLOWER1,BASE_FLOWER1,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_FLOWER1.fbx,source/control scale,1.725586,1.131469,1.791016,0.020996,0.487,0.003418,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_FLOWER2,BASE_FLOWER2,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_FLOWER2.fbx,source/control scale,1.918457,1.234008,1.924317,0.051513,0.536316,-0.027099,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_FLOWER3,BASE_FLOWER3,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_FLOWER3.fbx,source/control scale,1.482422,1.016114,1.437988,0.032227,0.425537,-0.062256,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_FLYINGFERN,BASE_FLYINGFERN,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_FLYINGFERN.fbx,source/control scale,4.763672,6.261719,4.31543,0.049805,8.681641,0.287598,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_FOXGLOVE01,BASE_FOXGLOVE01,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_FOXGLOVE01.fbx,source/control scale,2.412109,6.217888,1.614746,0.012695,3.094181,-0.046143,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_GRASS1,BASE_GRASS1,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_GRASS1.fbx,source/control scale,2.33545,1.534179,2.701172,0.232666,0.580567,-0.088867,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_GRASS2,BASE_GRASS2,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_GRASS2.fbx,source/control scale,1.727051,1.106934,2.009766,0.133056,0.402588,0.09082,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_GRASS3,BASE_GRASS3,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_GRASS3.fbx,source/control scale,1.44336,0.933716,1.357422,0.046875,0.412048,-0.038086,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_GRASS4,BASE_GRASS4,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_GRASS4.fbx,source/control scale,1.733886,1.103577,1.942383,-0.053955,0.436005,-0.105958,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_GRASS5,BASE_GRASS5,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_GRASS5.fbx,source/control scale,1.621582,1.119324,1.685058,-0.090576,0.460846,-0.016846,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_GRASS6,BASE_GRASS6,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_GRASS6.fbx,source/control scale,1.256348,0.93512,1.240234,-0.017822,0.380585,-0.076172,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_GRASS7,BASE_GRASS7,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_GRASS7.fbx,source/control scale,2.619141,1.350708,2.744141,0.09668,0.446716,-0.035157,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_HOTPLANT01,BASE_HOTPLANT01,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_HOTPLANT01.fbx,source/control scale,1.131351,4.478489,1.298432,-0.140327,2.006868,-0.209271,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_HOTPLANT02,BASE_HOTPLANT02,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_HOTPLANT02.fbx,source/control scale,1.562781,4.177127,1.1085,0.008906,1.876184,-0.032619,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_HOTPLANT03,BASE_HOTPLANT03,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_HOTPLANT03.fbx,source/control scale,1.8,2.513997,1.8,0.0,1.238792,0.0,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
BASE_HOTPLANT04,BASE_HOTPLANT04,SEEDED,dimensions_library_fbx_bounds,,models/exotic_decorations/BASE_HOTPLANT04.fbx,source/control scale,4.515625,6.199707,4.832031,0.013672,2.329834,-0.072266,Right = normalize(Up cross At),Up = normalize(source.Up),At = normalize(source.At projected perpendicular to Up),NEED_STUDY,NEED_STUDY,none,UNTESTED,,2026-06-07,,,,,,,,,,,,,,
