ModelName,FBXPath,fbx_version,vertex_count,mesh_arrays,min_x,max_x,extent_x,center_x,min_y,max_y,extent_y,center_y,min_z,max_z,extent_z,center_z,error
F_DOORWINDOW,models/alloy_structures/F_DOORWINDOW.fbx,7400,418,1,-2.677778,2.677777,5.355555,-0.0,0.0,3.431604,3.431604,1.715802,-0.751148,0.751148,1.502296,0.0,
F_DOOR_H,models/alloy_structures/F_DOOR_H.fbx,7400,379,1,-1.681626,1.664407,3.346033,-0.008609,0.0,3.431604,3.431604,1.715802,-0.407011,0.404354,0.811365,-0.001328,
F_FLOOR,models/alloy_structures/F_FLOOR.fbx,7400,56,1,-2.662381,2.662381,5.324762,0.0,-0.152778,0.152778,0.305556,0.0,-2.690406,2.690406,5.380812,0.0,
F_FLOOR_Q,models/alloy_structures/F_FLOOR_Q.fbx,7400,56,1,-1.319444,1.319444,2.638888,0.0,-0.152778,0.152778,0.305556,0.0,-1.333333,1.333333,2.666666,0.0,
F_GDOOR,models/alloy_structures/F_GDOOR.fbx,7400,392,1,-2.130543,2.122687,4.25323,-0.003928,0.024336,2.929822,2.905486,1.477079,-0.121277,0.187867,0.309144,0.033295,
F_GFLOOR,models/alloy_structures/F_GFLOOR.fbx,7400,104,1,-2.662381,2.662381,5.324762,0.0,-0.155843,0.155843,0.311686,0.0,-2.690406,2.690406,5.380812,0.0,
F_RAMP,models/alloy_structures/F_RAMP.fbx,7400,176,1,-2.666016,2.666016,5.332032,0.0,0.0,3.460937,3.460937,1.730469,-2.666016,2.686711,5.352727,0.010347,
F_RAMP_H,models/alloy_structures/F_RAMP_H.fbx,7400,176,1,-1.328942,1.338819,2.667761,0.004939,0.0,3.460937,3.460937,1.730469,-2.666016,2.686711,5.352727,0.010347,
F_RAMP_Q_TOP,models/alloy_structures/F_RAMP_Q_TOP.fbx,7400,64,1,-1.328942,1.338819,2.667761,0.004939,-1.026367,0.160916,1.187283,-0.432725,-1.334951,1.33309,2.668041,-0.000931,
F_ROOF0,models/alloy_structures/F_ROOF0.fbx,7400,256,1,-3.246531,3.246531,6.493062,0.0,0.001285,2.961596,2.960311,1.481441,-3.265779,3.265779,6.531558,0.0,
F_ROOF1,models/alloy_structures/F_ROOF1.fbx,7400,88,1,-3.09375,3.09375,6.1875,0.0,0.012767,1.782787,1.77002,0.897777,-3.09375,3.09375,6.1875,0.0,
F_ROOF2,models/alloy_structures/F_ROOF2.fbx,7400,208,1,-3.0,3.0,6.0,0.0,0.0,3.356583,3.356583,1.678292,-3.0,3.961211,6.961211,0.480605,
F_ROOF3,models/alloy_structures/F_ROOF3.fbx,7400,144,1,-3.255,3.255,6.51,0.0,0.0,2.240234,2.240234,1.120117,-3.255,3.255,6.51,0.0,
F_ROOF4,models/alloy_structures/F_ROOF4.fbx,7400,8,1,-3.062752,2.81967,5.882422,-0.121541,1.939126,4.764187,2.825061,3.351656,-2.828776,3.035984,5.86476,0.103604,
F_ROOF5,models/alloy_structures/F_ROOF5.fbx,7400,72,1,-3.053569,3.053569,6.107138,0.0,0.0,0.475878,0.475878,0.237939,-3.053569,3.053569,6.107138,0.0,
F_ROOF6,models/alloy_structures/F_ROOF6.fbx,7400,296,1,-3.053569,3.053569,6.107138,0.0,0.0,5.718288,5.718288,2.859144,-3.147268,3.13528,6.282548,-0.005994,
F_ROOF7,models/alloy_structures/F_ROOF7.fbx,7400,200,1,-3.053569,3.053569,6.107138,0.0,0.0,1.07989,1.07989,0.539945,-3.053569,3.053569,6.107138,0.0,
F_ROOF8,models/alloy_structures/F_ROOF8.fbx,7400,136,1,-3.053569,3.053569,6.107138,0.0,0.0,4.933677,4.933677,2.466839,-3.053569,3.053569,6.107138,0.0,
F_ROOF_C,models/alloy_structures/F_ROOF_C.fbx,7400,54,1,-2.668264,2.664062,5.332326,-0.002101,0.0,3.349434,3.349434,1.674717,-2.662109,2.667633,5.329742,0.002762,
F_ROOF_E_CAP,models/alloy_structures/F_ROOF_E_CAP.fbx,7400,214,1,-0.588889,0.588889,1.177778,0.0,0.0,1.45665,1.45665,0.728325,-3.123047,3.123047,6.246094,0.0,
F_ROOF_E_Q,models/alloy_structures/F_ROOF_E_Q.fbx,7400,60,1,-0.238068,0.248545,0.486613,0.005239,0.0,3.095584,3.095584,1.547792,-1.333008,1.331055,2.664063,-0.000977,
F_ROOF_IC,models/alloy_structures/F_ROOF_IC.fbx,7400,54,1,-2.667633,2.662109,5.329742,-0.002762,-0.004036,3.345398,3.349434,1.670681,-2.664062,2.668264,5.332326,0.002101,
F_ROOF_M,models/alloy_structures/F_ROOF_M.fbx,7400,72,1,-2.660662,2.660662,5.321324,0.0,0.0,3.297463,3.297463,1.648731,-2.699748,2.668909,5.368657,-0.015419,
F_ROOF_M_CAP,models/alloy_structures/F_ROOF_M_CAP.fbx,7400,84,1,-2.759783,2.759783,5.519566,0.0,0.0,1.626953,1.626953,0.813477,-3.0,3.0,6.0,0.0,
F_ROOF_M_Q,models/alloy_structures/F_ROOF_M_Q.fbx,7400,112,1,-2.677315,2.677315,5.35463,0.0,0.0,3.449012,3.449012,1.724506,-1.614489,1.333763,2.948252,-0.140363,
F_ROOF_M_WIN,models/alloy_structures/F_ROOF_M_WIN.fbx,7400,2689,1,-3.060547,3.060547,6.121094,0.0,-0.126221,5.023438,5.149658,2.448608,-3.060547,3.060547,6.121094,0.0,
F_TRIFLOOR,models/alloy_structures/F_TRIFLOOR.fbx,7400,56,1,-3.08,1.54,4.62,-0.77,-0.171047,0.171047,0.342094,0.0,-2.667358,2.667358,5.334716,0.0,
F_TRIFLOOR_Q,models/alloy_structures/F_TRIFLOOR_Q.fbx,7400,56,1,-1.54,0.77,2.31,-0.385,-0.171047,0.171047,0.342094,0.0,-1.333679,1.333679,2.667358,0.0,
F_WALL,models/alloy_structures/F_WALL.fbx,7400,279,1,-3.016144,3.016144,6.032288,0.0,0.0,3.431604,3.431604,1.715802,-0.407011,0.404354,0.811365,-0.001328,
F_WALLDIAGONAL,models/alloy_structures/F_WALLDIAGONAL.fbx,7400,279,1,-2.723052,3.016144,5.739196,0.146546,0.0,3.431604,3.431604,1.715802,-0.407011,0.404354,0.811365,-0.001328,
F_WALL_H,models/alloy_structures/F_WALL_H.fbx,7400,279,1,-1.708168,1.677114,3.385282,-0.015527,0.0,3.431604,3.431604,1.715802,-0.407011,0.404354,0.811365,-0.001328,
F_WALL_Q,models/alloy_structures/F_WALL_Q.fbx,7400,92,1,-2.91024,2.915287,5.825527,0.002524,-0.0,0.874023,0.874023,0.437012,-0.255556,0.255556,0.511112,0.0,
F_WALL_Q1,models/alloy_structures/F_WALL_Q1.fbx,7400,32,1,-2.65,2.65,5.3,0.0,-0.0,0.874023,0.874023,0.437012,-0.255556,0.255556,0.511112,0.0,
F_WALL_Q_H,models/alloy_structures/F_WALL_Q_H.fbx,7400,56,1,-1.340464,1.340464,2.680928,0.0,-0.0,0.874023,0.874023,0.437012,-0.255556,0.255556,0.511112,0.0,
F_WALL_Q_H1,models/alloy_structures/F_WALL_Q_H1.fbx,7400,56,1,-1.340464,1.340464,2.680928,0.0,-0.0,0.874023,0.874023,0.437012,-0.255556,0.255556,0.511112,0.0,
F_WALL_WIN,models/alloy_structures/F_WALL_WIN.fbx,7400,368,1,-2.677778,2.677777,5.355555,-0.0,0.0,3.431604,3.431604,1.715802,-0.751148,0.751148,1.502296,0.0,
F_WALL_WIN1,models/alloy_structures/F_WALL_WIN1.fbx,7400,349,1,-2.687842,2.677777,5.365619,-0.005032,0.0,3.431604,3.431604,1.715802,-0.751148,0.751148,1.502296,0.0,
F_WALL_WIN2,models/alloy_structures/F_WALL_WIN2.fbx,7400,289,1,-2.687842,2.677777,5.365619,-0.005032,0.0,3.431604,3.431604,1.715802,-0.751148,0.751148,1.502296,0.0,
F_WALL_WIN3,models/alloy_structures/F_WALL_WIN3.fbx,7400,281,1,-2.687842,2.677777,5.365619,-0.005032,0.0,3.431604,3.431604,1.715802,-0.751148,0.751148,1.502296,0.0,
F_WALL_WINDOW,models/alloy_structures/F_WALL_WINDOW.fbx,7400,314,1,-2.983274,2.983274,5.966548,0.0,0.0,3.431604,3.431604,1.715802,-0.350536,0.350536,0.701072,0.0,
B_ARCH,models/builder_structures/B_ARCH.fbx,7400,1281,1,-2.669922,2.662109,5.332031,-0.003906,0.007664,3.523438,3.515774,1.765551,-0.570312,0.570312,1.140625,0.0,
B_ARCHB,models/builder_structures/B_ARCHB.fbx,7400,1281,1,-2.669922,2.662109,5.332031,-0.003906,0.007664,3.523438,3.515774,1.765551,-0.570312,0.570312,1.140625,0.0,
B_ARCHB_H,models/builder_structures/B_ARCHB_H.fbx,7400,425,1,-1.373047,1.338867,2.711914,-0.01709,0.001875,3.283203,3.281328,1.642539,-0.464844,0.464844,0.929688,0.0,
B_ARCHM,models/builder_structures/B_ARCHM.fbx,7400,1413,1,-2.669922,2.662109,5.332031,-0.003906,0.007664,3.523438,3.515774,1.765551,-0.570312,0.570312,1.140625,0.0,
B_ARCHM_H,models/builder_structures/B_ARCHM_H.fbx,7400,425,1,-1.373047,1.338867,2.711914,-0.01709,0.001875,3.283203,3.281328,1.642539,-0.464844,0.464844,0.929688,0.0,
B_ARCHT,models/builder_structures/B_ARCHT.fbx,7400,5082,1,-3.070312,2.806641,5.876953,-0.131836,-0.321045,3.730469,4.051514,1.704712,-0.729492,0.994141,1.723633,0.132324,
B_ARCHT_H,models/builder_structures/B_ARCHT_H.fbx,7400,425,1,-1.373047,1.338867,2.711914,-0.01709,0.001875,3.283203,3.281328,1.642539,-0.464844,0.464844,0.929688,0.0,
B_ARCH_H,models/builder_structures/B_ARCH_H.fbx,7400,425,1,-1.373047,1.338867,2.711914,-0.01709,0.001875,3.283203,3.281328,1.642539,-0.464844,0.464844,0.929688,0.0,
B_CHEV_DOOR,models/builder_structures/B_CHEV_DOOR.fbx,7400,1014,1,-2.773438,2.779297,5.552734,0.00293,-0.000549,3.675781,3.676331,1.837616,-0.710449,0.827637,1.538086,0.058594,
B_CHEV_WALL,models/builder_structures/B_CHEV_WALL.fbx,7400,822,1,-2.773438,2.779297,5.552734,0.00293,-0.000549,3.675781,3.676331,1.837616,-0.710449,0.827637,1.538086,0.058594,
B_CHEV_WALL_H_C,models/builder_structures/B_CHEV_WALL_H_C.fbx,7400,284,1,-0.193604,0.487061,0.680664,0.146729,0.0,3.332031,3.332031,1.666016,-0.193604,0.487061,0.680664,0.146729,
B_CHEV_WIN0,models/builder_structures/B_CHEV_WIN0.fbx,7400,1429,1,-2.773438,2.779297,5.552734,0.00293,-0.000549,3.675781,3.676331,1.837616,-0.710449,0.827637,1.538086,0.058594,
B_CHEV_WIN1,models/builder_structures/B_CHEV_WIN1.fbx,7400,1125,1,-2.773438,2.779297,5.552734,0.00293,-0.000549,3.675781,3.676331,1.837616,-0.710449,0.827637,1.538086,0.058594,
B_CHEV_WIN2,models/builder_structures/B_CHEV_WIN2.fbx,7400,1123,1,-2.773438,2.779297,5.552734,0.00293,-0.000549,3.675781,3.676331,1.837616,-0.710449,0.827637,1.538086,0.058594,
B_DOOR,models/builder_structures/B_DOOR.fbx,7400,818,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOOR1,models/builder_structures/B_DOOR1.fbx,7400,714,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOORB0,models/builder_structures/B_DOORB0.fbx,7400,818,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOORB0_H,models/builder_structures/B_DOORB0_H.fbx,7400,718,1,-1.518555,1.519531,3.038086,0.000488,-0.004025,3.373047,3.377071,1.684511,-0.424561,0.408203,0.832764,-0.008179,
B_DOORB1,models/builder_structures/B_DOORB1.fbx,7400,818,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOORM0,models/builder_structures/B_DOORM0.fbx,7400,714,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOORM0_H,models/builder_structures/B_DOORM0_H.fbx,7400,718,1,-1.518555,1.519531,3.038086,0.000488,-0.004025,3.373047,3.377071,1.684511,-0.424561,0.408203,0.832764,-0.008179,
B_DOORM1,models/builder_structures/B_DOORM1.fbx,7400,714,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOORT0,models/builder_structures/B_DOORT0.fbx,7400,714,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOORT0_H,models/builder_structures/B_DOORT0_H.fbx,7400,718,1,-1.518555,1.519531,3.038086,0.000488,-0.004025,3.373047,3.377071,1.684511,-0.424561,0.408203,0.832764,-0.008179,
B_DOORT1,models/builder_structures/B_DOORT1.fbx,7400,714,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOORWINB0,models/builder_structures/B_DOORWINB0.fbx,7400,1228,1,-2.691406,2.683594,5.375,-0.003906,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOORWINDOW,models/builder_structures/B_DOORWINDOW.fbx,7400,1228,1,-2.691406,2.683594,5.375,-0.003906,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOORWINM0,models/builder_structures/B_DOORWINM0.fbx,7400,1228,1,-2.691406,2.683594,5.375,-0.003906,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOORWINT0,models/builder_structures/B_DOORWINT0.fbx,7400,1228,1,-2.691406,2.683594,5.375,-0.003906,-0.000549,3.373047,3.373596,1.686249,-0.424561,0.408203,0.832764,-0.008179,
B_DOOR_H,models/builder_structures/B_DOOR_H.fbx,7400,718,1,-1.518555,1.519531,3.038086,0.000488,-0.004025,3.373047,3.377071,1.684511,-0.424561,0.408203,0.832764,-0.008179,
B_FLOOR,models/builder_structures/B_FLOOR.fbx,7400,162,1,-2.666016,2.666016,5.332031,0.0,-0.16272,0.157227,0.319946,-0.002747,-2.666016,2.666016,5.332031,0.0,
B_FLOOR_Q,models/builder_structures/B_FLOOR_Q.fbx,7400,68,1,-1.333008,1.333008,2.666016,0.0,-0.16785,0.152097,0.319946,-0.007877,-1.333008,1.333333,2.666341,0.000163,
B_GDOOR,models/builder_structures/B_GDOOR.fbx,7400,711,1,-2.714844,2.714844,5.429688,0.0,-0.008652,3.373047,3.381699,1.682198,-1.524414,0.470703,1.995117,-0.526855,
B_GDOORB0,models/builder_structures/B_GDOORB0.fbx,7400,711,1,-2.714844,2.714844,5.429688,0.0,-0.008652,3.373047,3.381699,1.682198,-1.524414,0.470703,1.995117,-0.526855,
B_GDOORM0,models/builder_structures/B_GDOORM0.fbx,7400,747,1,-2.714844,2.714844,5.429688,0.0,-0.008652,3.373047,3.381699,1.682198,-1.524414,0.470703,1.995117,-0.526855,
B_GDOORT0,models/builder_structures/B_GDOORT0.fbx,7400,747,1,-2.714844,2.714844,5.429688,0.0,-0.008652,3.373047,3.381699,1.682198,-1.524414,0.470703,1.995117,-0.526855,
B_GFLOOR,models/builder_structures/B_GFLOOR.fbx,7400,376,1,-2.666016,2.666016,5.332031,0.0,-0.244385,0.260986,0.505371,0.008301,-2.666016,2.666016,5.332031,0.0,
B_RAMP,models/builder_structures/B_RAMP.fbx,7400,648,1,-2.53125,2.53125,5.0625,0.0,0.022079,3.4375,3.415421,1.72979,-2.644531,2.644531,5.289062,0.0,
B_RAMP_H,models/builder_structures/B_RAMP_H.fbx,7400,648,1,-1.333008,1.333008,2.666016,0.0,0.022079,3.4375,3.415421,1.72979,-2.644531,2.644531,5.289062,0.0,
B_RAMP_Q_TOP,models/builder_structures/B_RAMP_Q_TOP.fbx,7400,204,1,-1.333008,1.333008,2.666016,0.0,-1.026367,0.157227,1.183594,-0.43457,-1.333008,1.333008,2.666016,0.0,
B_ROOF0,models/builder_structures/B_ROOF0.fbx,7400,3722,1,-3.244231,3.244231,6.488461,0.0,-0.824196,8.84375,9.667946,4.009777,-3.244231,3.244231,6.488461,0.0,
B_ROOF1,models/builder_structures/B_ROOF1.fbx,7400,3663,1,-3.048828,3.048828,6.097656,0.0,-0.829957,5.420435,6.250391,2.295239,-3.048828,3.048828,6.097656,0.0,
B_ROOF2,models/builder_structures/B_ROOF2.fbx,7400,2020,1,-3.244231,3.244231,6.488461,0.0,-0.824196,11.703125,12.527321,5.439465,-3.244231,3.244231,6.488461,0.0,
B_ROOF3,models/builder_structures/B_ROOF3.fbx,7400,3592,1,-3.244231,3.244231,6.488461,0.0,-0.824196,7.96875,8.792946,3.572277,-3.244231,3.244231,6.488461,0.0,
B_ROOF4,models/builder_structures/B_ROOF4.fbx,7400,2093,1,-4.65625,3.244231,7.900481,-0.70601,-0.824196,4.355469,5.179665,1.765636,-3.546875,3.244231,6.791106,-0.151322,
B_ROOF5,models/builder_structures/B_ROOF5.fbx,7400,749,1,-3.244231,3.244231,6.488461,0.0,-0.824196,3.703125,4.527321,1.439465,-3.244231,3.244231,6.488461,0.0,
B_ROOF6,models/builder_structures/B_ROOF6.fbx,7400,5575,1,-3.472656,3.244231,6.716887,-0.114213,-0.824196,20.078125,20.902321,9.626965,-3.978516,3.78125,7.759766,-0.098633,
B_ROOF7,models/builder_structures/B_ROOF7.fbx,7400,12399,1,-4.480469,3.613281,8.09375,-0.433594,-0.824196,23.234375,24.058571,11.20509,-3.244231,3.751953,6.996184,0.253861,
B_ROOF8,models/builder_structures/B_ROOF8.fbx,7400,5472,1,-3.244231,3.244231,6.488461,0.0,-0.824196,13.875,14.699196,6.525402,-4.199219,3.244231,7.443449,-0.477494,
B_ROOF_C,models/builder_structures/B_ROOF_C.fbx,7400,142,1,-2.666016,2.666016,5.332031,0.0,0.002319,3.197266,3.194946,1.599792,-2.664062,2.669922,5.333984,0.00293,
B_ROOF_E_CAP,models/builder_structures/B_ROOF_E_CAP.fbx,7400,181,1,-0.527832,0.54541,1.073242,0.008789,-0.000146,1.435547,1.435693,0.7177,-3.033203,3.052734,6.085938,0.009766,
B_ROOF_E_Q,models/builder_structures/B_ROOF_E_Q.fbx,7400,134,1,-0.105896,0.12323,0.229126,0.008667,-0.0,3.535156,3.535156,1.767578,-1.527344,1.324219,2.851562,-0.101562,
B_ROOF_IC,models/builder_structures/B_ROOF_IC.fbx,7400,143,1,-2.664062,2.666016,5.330078,0.000977,0.002319,3.197266,3.194946,1.599792,-2.666016,2.664062,5.330078,-0.000977,
B_ROOF_M,models/builder_structures/B_ROOF_M.fbx,7400,52,1,-2.667969,2.664062,5.332031,-0.001953,0.002319,3.197266,3.194946,1.599792,-2.664062,2.666016,5.330078,0.000977,
B_ROOF_M_CAP,models/builder_structures/B_ROOF_M_CAP.fbx,7400,415,1,-2.666016,2.666016,5.332031,0.0,-0.052246,2.513672,2.565918,1.230713,-2.949219,3.005859,5.955078,0.02832,
B_ROOF_M_Q,models/builder_structures/B_ROOF_M_Q.fbx,7400,334,1,-2.800781,2.714844,5.515625,-0.042969,-0.0,3.535156,3.535156,1.767578,-1.527344,1.368164,2.895508,-0.07959,
B_ROOF_M_WIN,models/builder_structures/B_ROOF_M_WIN.fbx,7400,381,1,-2.642578,2.644531,5.287109,0.000977,0.011955,3.203125,3.19117,1.60754,-2.650391,2.664062,5.314453,0.006836,
B_TRIFLOOR,models/builder_structures/B_TRIFLOOR.fbx,7400,148,1,-3.078356,1.541016,4.619371,-0.76867,-0.162842,0.16272,0.325562,-6.1e-05,-2.667969,2.675781,5.34375,0.003906,
B_TRIFLOOR_Q,models/builder_structures/B_TRIFLOOR_Q.fbx,7400,118,1,-1.547852,0.769531,2.317383,-0.38916,-0.165161,0.166626,0.331787,0.000732,-1.333984,1.333984,2.667969,0.0,
B_WALL,models/builder_structures/B_WALL.fbx,7400,626,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.376709,0.376953,0.753662,0.000122,
B_WALLB,models/builder_structures/B_WALLB.fbx,7400,626,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.376709,0.376953,0.753662,0.000122,
B_WALLB_DIAGONA,models/builder_structures/B_WALLB_DIAGONA.fbx,7400,5612,1,-2.75,3.246094,5.996094,0.248047,-2.4e-05,3.427734,3.427759,1.713855,-0.422852,0.404053,0.826904,-0.009399,
B_WALLB_H,models/builder_structures/B_WALLB_H.fbx,7400,547,1,-1.518555,1.519531,3.038086,0.000488,-0.004025,3.373047,3.377071,1.684511,-0.283447,0.283447,0.566895,0.0,
B_WALLB_WIN0,models/builder_structures/B_WALLB_WIN0.fbx,7400,1233,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.376709,0.376953,0.753662,0.000122,
B_WALLB_WIN1,models/builder_structures/B_WALLB_WIN1.fbx,7400,929,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.376709,0.376953,0.753662,0.000122,
B_WALLB_WIN2,models/builder_structures/B_WALLB_WIN2.fbx,7400,927,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.376709,0.376953,0.753662,0.000122,
B_WALLB_WIN3,models/builder_structures/B_WALLB_WIN3.fbx,7400,1109,1,-2.714844,2.714844,5.429688,0.0,-0.000549,3.373047,3.373596,1.686249,-0.376709,0.376953,0.753662,0.000122,
