ObjectID,NiceName,Category,SubCategory,ModelName,VariantOfClean,SnapGroups,LikelyRole,FBXPath,extent_x,extent_y,extent_z,center_x,center_y,center_z,SpacingRule
B_TUR_C,PHASE BEAM ARRAY,Corvette,Defensive Systems,B_TUR_C,,,prop/detail or unclassified,models/corvette/B_TUR_C.fbx,3.720703,2.489502,5.0625,0.021484,1.569702,0.164062,"use FBX extents X=3.721, Y=2.490, Z=5.062 * scale"
B_TUR_D,CYCLOTRON DEFENCE CANNON,Corvette,Defensive Systems,B_TUR_D,,,prop/detail or unclassified,models/corvette/B_TUR_D.fbx,1.862793,2.82959,5.357422,0.003174,1.903564,0.213867,"use FBX extents X=1.863, Y=2.830, Z=5.357 * scale"
B_TUR_E,INFRA-KNIFE PLATFORM,Corvette,Defensive Systems,B_TUR_E,,,prop/detail or unclassified,models/corvette/B_TUR_E.fbx,3.283203,1.712402,3.771484,0.0,1.114502,0.657227,"use FBX extents X=3.283, Y=1.712, Z=3.771 * scale"
B_TUR_F,B_TUR_F,Corvette,Defensive Systems,B_TUR_F,,,prop/detail or unclassified,models/corvette/B_TUR_F.fbx,5.925781,5.227978,13.765625,0.0,2.620386,-1.242188,"use FBX extents X=5.926, Y=5.228, Z=13.766 * scale"
B_DECO_A,ANTENNA,Corvette,Exterior Decoration,B_DECO_A,,,prop/detail or unclassified,models/corvette/B_DECO_A.fbx,1.674072,6.080595,1.76479,-0.516479,2.971633,0.52717,"use FBX extents X=1.674, Y=6.081, Z=1.765 * scale"
B_DECO_B,CARGO LINK,Corvette,Exterior Decoration,B_DECO_B,,,prop/detail or unclassified,models/corvette/B_DECO_B.fbx,4.0625,1.830688,3.865234,0.0,0.672546,0.0,"use FBX extents X=4.062, Y=1.831, Z=3.865 * scale"
B_DECO_C,SMALL VENT,Corvette,Exterior Decoration,B_DECO_C,,,prop/detail or unclassified,models/corvette/B_DECO_C.fbx,3.285156,2.866028,5.578125,0.0,1.359955,0.0,"use FBX extents X=3.285, Y=2.866, Z=5.578 * scale"
B_DECO_D,CARGO CAPSULE,Corvette,Exterior Decoration,B_DECO_D,,,prop/detail or unclassified,models/corvette/B_DECO_D.fbx,3.882812,5.986952,3.884766,0.0,2.990899,0.0,"use FBX extents X=3.883, Y=5.987, Z=3.885 * scale"
B_DECO_F,CARGO POD,Corvette,Exterior Decoration,B_DECO_F,,,prop/detail or unclassified,models/corvette/B_DECO_F.fbx,2.685547,8.119797,5.832031,0.0,4.057289,-0.011719,"use FBX extents X=2.686, Y=8.120, Z=5.832 * scale"
B_DECO_G,CARGO SPHERE,Corvette,Exterior Decoration,B_DECO_G,,,prop/detail or unclassified,models/corvette/B_DECO_G.fbx,4.695312,4.537766,4.011719,0.0,2.266273,0.0,"use FBX extents X=4.695, Y=4.538, Z=4.012 * scale"
B_DECO_H,SATELLITE RECEIVER,Corvette,Exterior Decoration,B_DECO_H,,,prop/detail or unclassified,models/corvette/B_DECO_H.fbx,4.947266,4.239624,4.848145,-2.104492,2.079407,2.068115,"use FBX extents X=4.947, Y=4.240, Z=4.848 * scale"
B_DECO_I,TORPEDO LAUNCHER,Corvette,Exterior Decoration,B_DECO_I,,,prop/detail or unclassified,models/corvette/B_DECO_I.fbx,3.006571,2.823329,5.554688,0.239613,1.463605,-0.224609,"use FBX extents X=3.007, Y=2.823, Z=5.555 * scale"
B_DECO_J,AIR PURIFIER,Corvette,Exterior Decoration,B_DECO_J,,,prop/detail or unclassified,models/corvette/B_DECO_J.fbx,3.703125,1.183176,5.980469,0.033203,0.594935,-0.060547,"use FBX extents X=3.703, Y=1.183, Z=5.980 * scale"
B_DECO_K,FUEL RODS,Corvette,Exterior Decoration,B_DECO_K,,,prop/detail or unclassified,models/corvette/B_DECO_K.fbx,5.347656,2.80719,5.998047,0.0,1.326874,0.000977,"use FBX extents X=5.348, Y=2.807, Z=5.998 * scale"
B_DECO_L,RADIATOR VENT,Corvette,Exterior Decoration,B_DECO_L,,,prop/detail or unclassified,models/corvette/B_DECO_L.fbx,4.914062,1.76915,5.683594,0.0,0.859566,0.0,"use FBX extents X=4.914, Y=1.769, Z=5.684 * scale"
B_DECO_M,DUCTING OUTLET,Corvette,Exterior Decoration,B_DECO_M,,,prop/detail or unclassified,models/corvette/B_DECO_M.fbx,3.917969,1.723145,5.970703,0.0,0.772217,-0.004883,"use FBX extents X=3.918, Y=1.723, Z=5.971 * scale"
B_DECO_N_0,STREAMLINED TRIM CAP,Corvette,Exterior Decoration,B_DECO_N_0,,,prop/detail or unclassified,models/corvette/B_DECO_N_0.fbx,2.975586,3.006377,5.646484,-0.000488,1.502671,-0.170898,"use FBX extents X=2.976, Y=3.006, Z=5.646 * scale"
B_DECO_N_1,STREAMLINED TRIM CAP,Corvette,Exterior Decoration,B_DECO_N_1,,,prop/detail or unclassified,models/corvette/B_DECO_N_1.fbx,2.975586,3.006377,5.646484,0.000488,1.502671,0.170898,"use FBX extents X=2.976, Y=3.006, Z=5.646 * scale"
B_DECO_O,STREAMLINED TRIM,Corvette,Exterior Decoration,B_DECO_O,,,prop/detail or unclassified,models/corvette/B_DECO_O.fbx,2.96875,3.156025,5.992188,0.0,1.582144,-0.001953,"use FBX extents X=2.969, Y=3.156, Z=5.992 * scale"
B_DECO_P,RADAR DOME,Corvette,Exterior Decoration,B_DECO_P,,,prop/detail or unclassified,models/corvette/B_DECO_P.fbx,12.078125,3.501953,12.078125,0.0,1.750976,0.0,"use FBX extents X=12.078, Y=3.502, Z=12.078 * scale"
B_DECO_Q_0,AERON DIFFUSER,Corvette,Exterior Decoration,B_DECO_Q_0,,,prop/detail or unclassified,models/corvette/B_DECO_Q_0.fbx,3.15625,2.929733,5.970703,-0.000977,1.462868,-0.014648,"use FBX extents X=3.156, Y=2.930, Z=5.971 * scale"
B_DECO_Q_1,AERON DIFFUSER,Corvette,Exterior Decoration,B_DECO_Q_1,,,prop/detail or unclassified,models/corvette/B_DECO_Q_1.fbx,3.15625,2.929733,5.970704,0.000977,1.462868,0.014649,"use FBX extents X=3.156, Y=2.930, Z=5.971 * scale"
B_DECO_R,AERON COWLING,Corvette,Exterior Decoration,B_DECO_R,,,prop/detail or unclassified,models/corvette/B_DECO_R.fbx,3.160156,2.923145,6.0,0.0,1.466162,0.0,"use FBX extents X=3.160, Y=2.923, Z=6.000 * scale"
B_DECO_S,AERON PILLAR,Corvette,Exterior Decoration,B_DECO_S,,,prop/detail or unclassified,models/corvette/B_DECO_S.fbx,15.5625,2.054199,19.484375,0.0,1.87915,0.0,"use FBX extents X=15.562, Y=2.054, Z=19.484 * scale"
B_DECO_T,AERON PYRAMID,Corvette,Exterior Decoration,B_DECO_T,,,prop/detail or unclassified,models/corvette/B_DECO_T.fbx,4.742188,5.773239,4.742188,0.0,2.902443,0.0,"use FBX extents X=4.742, Y=5.773, Z=4.742 * scale"
B_CON2_0,REINFORCED HULL LINK,Corvette,Hull Connectors,B_CON2_0,,,prop/detail or unclassified,models/corvette/B_CON2_0.fbx,6.050781,3.009319,11.984375,0.0,1.499247,0.0,"use FBX extents X=6.051, Y=3.009, Z=11.984 * scale"
B_CON2_1,INDUSTRIAL CARGO LINK,Corvette,Hull Connectors,B_CON2_1,,,prop/detail or unclassified,models/corvette/B_CON2_1.fbx,6.015625,3.009319,12.015625,0.0,1.499247,0.0,"use FBX extents X=6.016, Y=3.009, Z=12.016 * scale"
B_CON2_2,OVERSIZED CANISTER LINK,Corvette,Hull Connectors,B_CON2_2,,,prop/detail or unclassified,models/corvette/B_CON2_2.fbx,6.0,3.0,12.0,0.0,1.5,0.0,"use FBX extents X=6.000, Y=3.000, Z=12.000 * scale"
B_CON2_3,STRUCTURAL GANTRY LINK,Corvette,Hull Connectors,B_CON2_3,,,prop/detail or unclassified,models/corvette/B_CON2_3.fbx,6.0,3.0,12.0,0.0,1.5,0.0,"use FBX extents X=6.000, Y=3.000, Z=12.000 * scale"
B_CON_10,BALLAST TANK,Corvette,Hull Connectors,B_CON_10,,,prop/detail or unclassified,models/corvette/B_CON_10.fbx,6.0,2.998046,6.0,0.0,1.499024,0.0,"use FBX extents X=6.000, Y=2.998, Z=6.000 * scale"
B_CON_11,COOLANT DISTRIBUTOR,Corvette,Hull Connectors,B_CON_11,,,prop/detail or unclassified,models/corvette/B_CON_11.fbx,5.996094,3.0,5.982422,0.0,1.5,0.000977,"use FBX extents X=5.996, Y=3.000, Z=5.982 * scale"
B_CON_12,FUEL CELL,Corvette,Hull Connectors,B_CON_12,,,prop/detail or unclassified,models/corvette/B_CON_12.fbx,6.0,2.998047,6.0,0.0,1.499023,0.0,"use FBX extents X=6.000, Y=2.998, Z=6.000 * scale"
B_CON_13,PLASMA CORE,Corvette,Hull Connectors,B_CON_13,,,prop/detail or unclassified,models/corvette/B_CON_13.fbx,6.0,3.0,6.0,0.0,1.5,0.0,"use FBX extents X=6.000, Y=3.000, Z=6.000 * scale"
B_CON_14,SHIELDED JOINT,Corvette,Hull Connectors,B_CON_14,,,prop/detail or unclassified,models/corvette/B_CON_14.fbx,6.0,3.027374,6.0,0.0,1.499985,0.0,"use FBX extents X=6.000, Y=3.027, Z=6.000 * scale"
B_CON_15,HIGH-ENERGY DUCTING,Corvette,Hull Connectors,B_CON_15,,,prop/detail or unclassified,models/corvette/B_CON_15.fbx,5.972656,2.938614,5.972656,0.0,1.499443,0.0,"use FBX extents X=5.973, Y=2.939, Z=5.973 * scale"
B_CON_5,INDUSTRIAL JOINT,Corvette,Hull Connectors,B_CON_5,,,prop/detail or unclassified,models/corvette/B_CON_5.fbx,6.0,2.998046,6.0,0.0,1.499024,0.0,"use FBX extents X=6.000, Y=2.998, Z=6.000 * scale"
B_CON_6,HEAVY LINKAGE,Corvette,Hull Connectors,B_CON_6,,,prop/detail or unclassified,models/corvette/B_CON_6.fbx,6.0,3.001742,5.996094,0.0,1.499129,0.0,"use FBX extents X=6.000, Y=3.002, Z=5.996 * scale"
B_CON_7,RELAY JOINT,Corvette,Hull Connectors,B_CON_7,,,prop/detail or unclassified,models/corvette/B_CON_7.fbx,5.996094,3.0,5.996094,0.0,1.5,0.0,"use FBX extents X=5.996, Y=3.000, Z=5.996 * scale"
B_CON_8,BOLTED JOINT,Corvette,Hull Connectors,B_CON_8,,,prop/detail or unclassified,models/corvette/B_CON_8.fbx,6.0,3.000036,6.0,0.0,1.499982,0.0,"use FBX extents X=6.000, Y=3.000, Z=6.000 * scale"
B_CON_9,DUCTING JOINT,Corvette,Hull Connectors,B_CON_9,,,prop/detail or unclassified,models/corvette/B_CON_9.fbx,6.0,2.998047,6.007812,0.0,1.499023,0.0,"use FBX extents X=6.000, Y=2.998, Z=6.008 * scale"
B_CON_L_0,GIRDER ARRAY,Corvette,Hull Connectors,B_CON_L_0,,,prop/detail or unclassified,models/corvette/B_CON_L_0.fbx,5.9375,3.0,5.9375,0.0,1.5,0.0,"use FBX extents X=5.938, Y=3.000, Z=5.938 * scale"
B_CON_L_1,LIGHT SCAFFOLD,Corvette,Hull Connectors,B_CON_L_1,,,light/accent,models/corvette/B_CON_L_1.fbx,6.015625,3.003158,6.019531,0.003906,1.500374,0.001953,"use FBX extents X=6.016, Y=3.003, Z=6.020 * scale"
B_CON_L_2,HEAVY SCAFFOLD,Corvette,Hull Connectors,B_CON_L_2,,,prop/detail or unclassified,models/corvette/B_CON_L_2.fbx,6.0,3.000005,6.0,0.0,1.499998,0.0,"use FBX extents X=6.000, Y=3.000, Z=6.000 * scale"
B_CON_L_3,HULL LINKAGE,Corvette,Hull Connectors,B_CON_L_3,,,prop/detail or unclassified,models/corvette/B_CON_L_3.fbx,6.0,2.998047,6.0,0.0,1.499024,0.0,"use FBX extents X=6.000, Y=2.998, Z=6.000 * scale"
B_CON_R_0,GIRDER ARRAY,Corvette,Hull Connectors,B_CON_R_0,B_CON_L_0,,prop/detail or unclassified,models/corvette/B_CON_R_0.fbx,5.9375,3.0,5.9375,0.0,1.5,0.0,"use FBX extents X=5.938, Y=3.000, Z=5.938 * scale"
B_CON_R_1,LIGHT SCAFFOLD,Corvette,Hull Connectors,B_CON_R_1,B_CON_L_1,,light/accent,models/corvette/B_CON_R_1.fbx,6.015625,3.003158,6.019531,-0.003906,1.500374,0.001953,"use FBX extents X=6.016, Y=3.003, Z=6.020 * scale"
B_CON_R_2,HEAVY SCAFFOLD,Corvette,Hull Connectors,B_CON_R_2,B_CON_L_2,,prop/detail or unclassified,models/corvette/B_CON_R_2.fbx,6.0,3.000005,6.0,0.0,1.499998,0.0,"use FBX extents X=6.000, Y=3.000, Z=6.000 * scale"
B_CON_R_3,HULL LINKAGE,Corvette,Hull Connectors,B_CON_R_3,B_CON_L_3,,prop/detail or unclassified,models/corvette/B_CON_R_3.fbx,6.0,2.998047,6.0,0.0,1.499024,0.0,"use FBX extents X=6.000, Y=2.998, Z=6.000 * scale"
B_STR_AA_E,AERON WINGLET (E),Corvette,Hull Plating,B_STR_AA_E,B_STR_AA_N,,prop/detail or unclassified,models/corvette/B_STR_AA_E.fbx,8.946746,3.109632,6.310547,1.534439,1.552605,-0.000977,"use FBX extents X=8.947, Y=3.110, Z=6.311 * scale"
B_STR_AA_N,AERON WINGLET (N),Corvette,Hull Plating,B_STR_AA_N,,,prop/detail or unclassified,models/corvette/B_STR_AA_N.fbx,6.310547,3.109632,8.946747,0.000977,1.552605,1.534439,"use FBX extents X=6.311, Y=3.110, Z=8.947 * scale"
B_STR_AA_NE,B_STR_AA_NE (NE),Corvette,Hull Plating,B_STR_AA_NE,,,prop/detail or unclassified,,,,,,,,
B_STR_AA_NE1,B_STR_AA_NE1 (NE1),Corvette,Hull Plating,B_STR_AA_NE1,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_NE2,B_STR_AA_NE2 (NE2),Corvette,Hull Plating,B_STR_AA_NE2,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_NE3,B_STR_AA_NE3 (NE3),Corvette,Hull Plating,B_STR_AA_NE3,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_NW,B_STR_AA_NW (NW),Corvette,Hull Plating,B_STR_AA_NW,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_NW1,B_STR_AA_NW1 (NW1),Corvette,Hull Plating,B_STR_AA_NW1,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_NW2,B_STR_AA_NW2 (NW2),Corvette,Hull Plating,B_STR_AA_NW2,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_NW3,B_STR_AA_NW3 (NW3),Corvette,Hull Plating,B_STR_AA_NW3,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_S,AERON WINGLET (S),Corvette,Hull Plating,B_STR_AA_S,B_STR_AA_N,,prop/detail or unclassified,models/corvette/B_STR_AA_S.fbx,6.310547,3.109632,8.946746,-0.000977,1.552605,-1.534439,"use FBX extents X=6.311, Y=3.110, Z=8.947 * scale"
B_STR_AA_W,AERON WINGLET (W),Corvette,Hull Plating,B_STR_AA_W,B_STR_AA_N,,prop/detail or unclassified,models/corvette/B_STR_AA_W.fbx,8.946747,3.109632,6.310547,-1.534439,1.552605,0.000977,"use FBX extents X=8.947, Y=3.110, Z=6.311 * scale"
B_STR_AA_Y_E,AERON WINGLET (Y_E),Corvette,Hull Plating,B_STR_AA_Y_E,B_STR_AA_N,,prop/detail or unclassified,models/corvette/B_STR_AA_Y_E.fbx,8.946746,3.109633,6.310547,1.534439,1.552606,-0.000978,"use FBX extents X=8.947, Y=3.110, Z=6.311 * scale"
B_STR_AA_Y_N,AERON WINGLET (Y_N),Corvette,Hull Plating,B_STR_AA_Y_N,B_STR_AA_N,,prop/detail or unclassified,models/corvette/B_STR_AA_Y_N.fbx,6.310547,3.109632,8.946746,-0.000977,1.552605,-1.534439,"use FBX extents X=6.311, Y=3.110, Z=8.947 * scale"
B_STR_AA_Y_NE,B_STR_AA_Y_NE (Y_NE),Corvette,Hull Plating,B_STR_AA_Y_NE,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_Y_NE1,B_STR_AA_Y_NE1 (Y_NE1),Corvette,Hull Plating,B_STR_AA_Y_NE1,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_Y_NE2,B_STR_AA_Y_NE2 (Y_NE2),Corvette,Hull Plating,B_STR_AA_Y_NE2,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_Y_NE3,B_STR_AA_Y_NE3 (Y_NE3),Corvette,Hull Plating,B_STR_AA_Y_NE3,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_Y_NW,B_STR_AA_Y_NW (Y_NW),Corvette,Hull Plating,B_STR_AA_Y_NW,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_Y_NW1,B_STR_AA_Y_NW1 (Y_NW1),Corvette,Hull Plating,B_STR_AA_Y_NW1,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_Y_NW2,B_STR_AA_Y_NW2 (Y_NW2),Corvette,Hull Plating,B_STR_AA_Y_NW2,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_Y_NW3,B_STR_AA_Y_NW3 (Y_NW3),Corvette,Hull Plating,B_STR_AA_Y_NW3,B_STR_AA_NE,,prop/detail or unclassified,,,,,,,,
B_STR_AA_Y_S,AERON WINGLET (Y_S),Corvette,Hull Plating,B_STR_AA_Y_S,B_STR_AA_N,,prop/detail or unclassified,models/corvette/B_STR_AA_Y_S.fbx,6.310547,3.109633,8.946747,0.000977,1.552606,1.534439,"use FBX extents X=6.311, Y=3.110, Z=8.947 * scale"
B_STR_AA_Y_W,AERON WINGLET (Y_W),Corvette,Hull Plating,B_STR_AA_Y_W,B_STR_AA_N,,prop/detail or unclassified,models/corvette/B_STR_AA_Y_W.fbx,8.946747,3.109632,6.310547,-1.534439,1.552605,0.000977,"use FBX extents X=8.947, Y=3.110, Z=6.311 * scale"
B_STR_A_E,ARGONAUT COWLING (E),Corvette,Hull Plating,B_STR_A_E,B_STR_A_N,,prop/detail or unclassified,models/corvette/B_STR_A_E.fbx,6.137429,3.00071,5.996094,-0.068005,1.499645,0.0,"use FBX extents X=6.137, Y=3.001, Z=5.996 * scale"
B_STR_A_N,ARGONAUT COWLING (N),Corvette,Hull Plating,B_STR_A_N,,,prop/detail or unclassified,models/corvette/B_STR_A_N.fbx,5.996094,3.00071,6.137429,0.0,1.499645,0.068004,"use FBX extents X=5.996, Y=3.001, Z=6.137 * scale"
B_STR_A_NE,ARGONAUT AEROFOIL (NE),Corvette,Hull Plating,B_STR_A_NE,,,prop/detail or unclassified,models/corvette/B_STR_A_NE.fbx,2.990483,2.990483,5.983386,1.505007,1.494992,-0.007318,"use FBX extents X=2.990, Y=2.990, Z=5.983 * scale"
B_STR_A_NE1,ARGONAUT AEROFOIL (NE1),Corvette,Hull Plating,B_STR_A_NE1,B_STR_A_NE,,prop/detail or unclassified,models/corvette/B_STR_A_NE1.fbx,5.983386,2.990483,2.990484,-0.007318,1.494992,-1.505007,"use FBX extents X=5.983, Y=2.990, Z=2.990 * scale"
B_STR_A_NE2,ARGONAUT AEROFOIL (NE2),Corvette,Hull Plating,B_STR_A_NE2,B_STR_A_NE,,prop/detail or unclassified,models/corvette/B_STR_A_NE2.fbx,2.990483,2.990483,5.983386,-1.505007,1.494992,0.007318,"use FBX extents X=2.990, Y=2.990, Z=5.983 * scale"
B_STR_A_NE3,ARGONAUT AEROFOIL (NE3),Corvette,Hull Plating,B_STR_A_NE3,B_STR_A_NE,,prop/detail or unclassified,models/corvette/B_STR_A_NE3.fbx,5.983386,2.990483,2.990483,0.007318,1.494992,1.505007,"use FBX extents X=5.983, Y=2.990, Z=2.990 * scale"
B_STR_A_NW,ARGONAUT AEROFOIL (NW),Corvette,Hull Plating,B_STR_A_NW,B_STR_A_NE,,prop/detail or unclassified,models/corvette/B_STR_A_NW.fbx,2.990484,2.990483,5.983386,-1.505007,1.494992,-0.007318,"use FBX extents X=2.990, Y=2.990, Z=5.983 * scale"
B_STR_A_NW1,ARGONAUT AEROFOIL (NW1),Corvette,Hull Plating,B_STR_A_NW1,B_STR_A_NE,,prop/detail or unclassified,models/corvette/B_STR_A_NW1.fbx,5.983386,2.990483,2.990483,-0.007318,1.494992,1.505007,"use FBX extents X=5.983, Y=2.990, Z=2.990 * scale"
B_STR_A_NW2,ARGONAUT AEROFOIL (NW2),Corvette,Hull Plating,B_STR_A_NW2,B_STR_A_NE,,prop/detail or unclassified,models/corvette/B_STR_A_NW2.fbx,2.990483,2.990483,5.983386,1.505007,1.494992,0.007318,"use FBX extents X=2.990, Y=2.990, Z=5.983 * scale"
B_STR_A_NW3,ARGONAUT AEROFOIL (NW3),Corvette,Hull Plating,B_STR_A_NW3,B_STR_A_NE,,prop/detail or unclassified,models/corvette/B_STR_A_NW3.fbx,5.983386,2.990483,2.990484,0.007318,1.494992,-1.505007,"use FBX extents X=5.983, Y=2.990, Z=2.990 * scale"
